,model,method,mean_tbc,std_tbc,mean_wiki,std_wiki,self n=2,self n=3,self n=4,WT103 n=2,WT103 n=3,WT103 n=4,TBC n=2,TBC n=3,TBC n=4
183,"/max_iter=500,std_len=0,init_mask_prob=0,temperature=1,sample=False,top_k=0",Parallel-015,0.06,0.006999999999999999,0.07400000000000001,0.006,0.42767389678384443,0.6901320901320901,0.8488278092158448,0.33418100224382946,0.6470862470862471,0.83589329021827,0.3841436050860135,0.6994560994560994,0.8763136620856912
184,"/max_iter=500,std_len=0,init_mask_prob=0,temperature=1,sample=True,top_k=0",Parallel-015,0.048,0.004,0.062,0.002,0.6452384301589534,0.8725761772853186,0.9599031623543652,0.5086510057673371,0.8094474413179764,0.9344832803752459,0.5661837107891405,0.8571220294503572,0.9633832652443638
185,"/max_iter=500,std_len=0,init_mask_prob=0,temperature=1,sample=True,top_k=100",Parallel-015,0.052000000000000005,0.005,0.068,0.006,0.5937719175199888,0.8475069050734119,0.9547443053250867,0.4628980221629962,0.7864515191161506,0.9263840699954744,0.5247580305793239,0.8345689780491351,0.9567053854276664
186,"/max_iter=500,std_len=0,init_mask_prob=0,temperature=10,sample=False,top_k=0",Parallel-015,0.057,0.004,0.069,0.004,0.3955781296683597,0.6550279329608939,0.8222473361317404,0.31968927397669555,0.6297330850403476,0.8238618017436229,0.36570062742754705,0.675667287399131,0.8571197933484017
187,"/max_iter=500,std_len=0,init_mask_prob=0,temperature=10,sample=True,top_k=0",Parallel-015,0.009000000000000001,0.0,0.01,0.0,0.9437185929648241,0.9913099870298314,0.9974530831099195,0.9064070351758794,0.9879377431906615,0.9973190348525469,0.9277638190954773,0.9913099870298314,0.9974530831099195
188,"/max_iter=500,std_len=0,init_mask_prob=0,temperature=10,sample=True,top_k=100",Parallel-015,0.023,0.002,0.023,0.002,0.7981226864093073,0.9447634673229423,0.986268403171008,0.7121893178212586,0.9260322668854252,0.9774915062287656,0.7349286092014807,0.938884331419196,0.9868346545866364
189,"/max_iter=500,std_len=0,init_mask_prob=1,temperature=0.1,sample=False,top_k=0",Parallel-015,0.18100000000000002,0.064,0.05,0.017,0.0,0.0,0.0,0.010465116279069767,0.0287856071964018,0.04303405572755418,0.012209302325581395,0.03088455772113943,0.045356037151702784
190,"/max_iter=500,std_len=0,init_mask_prob=1,temperature=0.1,sample=True,top_k=0",Parallel-015,0.138,0.053,0.053,0.003,0.11856658309983778,0.23076923076923078,0.3421884882985452,0.12579265595044978,0.3017399267399267,0.4441808981657179,0.13272378705205723,0.3118131868131868,0.45493358633776093
191,"/max_iter=500,std_len=0,init_mask_prob=1,temperature=0.1,sample=True,top_k=100",Parallel-015,0.114,0.077,0.053,0.004,0.12749244712990937,0.24776820673453406,0.36666666666666664,0.13549848942598186,0.31464369616288174,0.4604878048780488,0.14425981873111782,0.329992169146437,0.4769105691056911
192,"/max_iter=500,std_len=0,init_mask_prob=1,temperature=1,sample=False,top_k=0",Parallel-015,0.155,0.07400000000000001,0.079,0.03,0.0,0.0,0.0,0.019167904903417535,0.043010752688172046,0.06327503974562798,0.022734026745913818,0.04869431643625192,0.0670906200317965
193,"/max_iter=500,std_len=0,init_mask_prob=1,temperature=1,sample=True,top_k=0",Parallel-015,0.068,0.002,0.07400000000000001,0.004,0.6452194054819199,0.8937641271107566,0.9788199697428139,0.5063698365718697,0.8369897619997341,0.9588777334616971,0.5425299189293528,0.860656827549528,0.9771695777747215
194,"/max_iter=500,std_len=0,init_mask_prob=1,temperature=1,sample=True,top_k=100",Parallel-015,0.081,0.011000000000000001,0.071,0.002,0.5523593237446379,0.8496612819176654,0.9489631026124428,0.46833207166288165,0.8210005211047421,0.9478858066253704,0.4827151148120111,0.8340281396560709,0.956638836520334
195,"/max_iter=500,std_len=0,init_mask_prob=1,temperature=10,sample=False,top_k=0",Parallel-015,0.078,0.039,0.05,0.015,0.0,0.0,0.0,0.014361702127659574,0.039202200825309494,0.05783475783475783,0.015159574468085106,0.0405777166437414,0.05997150997150997
196,"/max_iter=500,std_len=0,init_mask_prob=1,temperature=10,sample=True,top_k=0",Parallel-015,0.009000000000000001,0.0,0.01,0.0,0.9519819932474678,0.9932877242803666,0.9981325863678805,0.9157183943978993,0.9896734219697948,0.9979991996798719,0.9366012254595474,0.9923841487027236,0.9981325863678805
197,"/max_iter=500,std_len=0,init_mask_prob=1,temperature=10,sample=True,top_k=100",Parallel-015,0.027999999999999997,0.002,0.026000000000000002,0.002,0.8430211909553688,0.9853604977430768,0.9984899962249906,0.7609802296673375,0.9652311821398073,0.994463319491632,0.758967680833432,0.9736488959375381,0.9972316597458161
198,"/max_iter=500,std_len=5,init_mask_prob=0,temperature=0.1,sample=False,top_k=0",Parallel-015,0.059000000000000004,0.005,0.075,0.005,0.3907586993725043,0.6496598639455783,0.8148034398034398,0.317313177410154,0.6268855368234251,0.8220208845208845,0.35909868796349115,0.6748003549245786,0.8558046683046683
199,"/max_iter=500,std_len=5,init_mask_prob=0,temperature=0.1,sample=True,top_k=0",Parallel-015,0.055999999999999994,0.006,0.07200000000000001,0.004,0.4097949550081133,0.6748353499770255,0.8351648351648352,0.32453164183507893,0.6399142288252412,0.8346870520783565,0.3854550818704824,0.6927553989891254,0.8679726071030419
200,"/max_iter=500,std_len=5,init_mask_prob=0,temperature=0.1,sample=True,top_k=100",Parallel-015,0.054000000000000006,0.005,0.07,0.009000000000000001,0.41714614499424624,0.6672635034318114,0.8223806571605704,0.34177215189873417,0.6477170993733214,0.8326100433973962,0.3859321058688147,0.6947179946284691,0.8665530068195908
201,"/max_iter=500,std_len=5,init_mask_prob=0,temperature=1,sample=False,top_k=0",Parallel-015,0.055999999999999994,0.004,0.07400000000000001,0.002,0.42199203187250994,0.693941908713693,0.8536796536796537,0.339601593625498,0.6627385892116182,0.85004329004329,0.3947410358565737,0.7108713692946058,0.8831168831168831
202,"/max_iter=500,std_len=5,init_mask_prob=0,temperature=1,sample=True,top_k=0",Parallel-015,0.042,0.005,0.048,0.006,0.6380385094888489,0.8750179365762664,0.963089745497842,0.5162764925890012,0.8219256708279523,0.9400208364339931,0.5701620723091841,0.8603816903429473,0.9648757255543979
203,"/max_iter=500,std_len=5,init_mask_prob=0,temperature=1,sample=True,top_k=100",Parallel-015,0.052000000000000005,0.006999999999999999,0.064,0.006999999999999999,0.6048387096774194,0.8470319634703196,0.9427215189873418,0.47302052785923754,0.7910197869101979,0.9194620253164557,0.5340175953079179,0.8350076103500761,0.9518987341772152
204,"/max_iter=500,std_len=5,init_mask_prob=0,temperature=10,sample=False,top_k=0",Parallel-015,0.055999999999999994,0.004,0.08,0.003,0.41131426785435227,0.6617336152219874,0.8214951686726564,0.32192530082825443,0.6266059521873475,0.8196304458382777,0.37740271917487106,0.6859651975931046,0.857602983556535
